"key","count","hashes","paths"
"brand, virgocx_web.png","3","1","MAGNE.AI/assets/brand/ecosystem/virgocx_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/virgocx_web.png | MAGNE.AI/assets/brand/partners/ecosystem/virgocx_web.png"
"brand, weex.png","4","1","MAGNE.AI/assets/brand/ecosystem/weex.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/weex.png | MAGNE.AI/assets/brand/partners/weex.png | MAGNE.AI/assets/brand/partners/ecosystem/weex.png"
"brand, xt.png","4","1","MAGNE.AI/assets/brand/ecosystem/xt.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/xt.png | MAGNE.AI/assets/brand/partners/xt.png | MAGNE.AI/assets/brand/partners/ecosystem/xt.png"
"brand, LinkLayer AI.png","2","1","MAGNE.AI/assets/brand/ecosystem/ecosystem/LinkLayer AI.png | MAGNE.AI/assets/brand/partners/ecosystem/LinkLayer AI.png"
"brand, deepmind_blue.png","2","1","MAGNE.AI/assets/brand/partners/deepmind_blue.png | MAGNE.AI/assets/brand/partners/strategic/deepmind_blue.png"
"brand, fih.png","2","1","MAGNE.AI/assets/brand/partners/fih.png | MAGNE.AI/assets/brand/partners/strategic/fih.png"
"brand, google-logo.png","2","1","MAGNE.AI/assets/brand/partners/google-logo.png | MAGNE.AI/assets/brand/partners/strategic/google-logo.png"
"brand, hed.png","2","1","MAGNE.AI/assets/brand/partners/hed.png | MAGNE.AI/assets/brand/partners/strategic/hed.png"
"brand, imag_green.png","2","1","MAGNE.AI/assets/brand/partners/imag_green.png | MAGNE.AI/assets/brand/partners/strategic/imag_green.png"
"brand, kucoin.svg","2","1","MAGNE.AI/assets/brand/partners/kucoin.svg | MAGNE.AI/assets/brand/partners/strategic/kucoin.svg"
"brand, micron_inv.png","2","1","MAGNE.AI/assets/brand/partners/micron_inv.png | MAGNE.AI/assets/brand/partners/strategic/micron_inv.png"
"brand, redrock_web.png","2","1","MAGNE.AI/assets/brand/partners/redrock_web.png | MAGNE.AI/assets/brand/partners/strategic/redrock_web.png"
"brand, samsung_inv.png","2","1","MAGNE.AI/assets/brand/partners/samsung_inv.png | MAGNE.AI/assets/brand/partners/strategic/samsung_inv.png"
"brand, skhynix_web.png","2","1","MAGNE.AI/assets/brand/partners/skhynix_web.png | MAGNE.AI/assets/brand/partners/strategic/skhynix_web.png"
"brand, ti.svg","2","1","MAGNE.AI/assets/brand/partners/ti.svg | MAGNE.AI/assets/brand/partners/strategic/ti.svg"
"brand, unisoc_web.png","2","1","MAGNE.AI/assets/brand/partners/unisoc_web.png | MAGNE.AI/assets/brand/partners/strategic/unisoc_web.png"
"brand, wd_better_inv.png","2","1","MAGNE.AI/assets/brand/partners/wd_better_inv.png | MAGNE.AI/assets/brand/partners/strategic/wd_better_inv.png"
